objectid,location,materials,easting,northing,latlon,postcode,distance,updated,created,src_co_mingled,src_textiles,src_shoes,src_books,src_media,src_printer_ca,src_waste_elec,src_lightbulbs,src_batteries,src_carrier_ba,src_oil_banks
1,"Allan Edwards Drive, Landsdown Green Estate","T,S",530014,176876,"51.47591410829135,-0.129276620546976",SW8 2NT,31.1142,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
2,"Astbury House,  Lambeth Road, China Walk Estate","T,S",531064,179067,"51.49536202739394,-0.113353725840905",SE11 6LY,1.75895,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
3,"Barrington Road Shopping Parade, Loughborough Road","T, S, W, B,M,L",531732,175922,"51.46694370366369,-0.104908137148077",SW9 7LJ,31.0534,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,Yes,No,No,No,No,No,No,No
4,"Baylis Road,outside Waterloo Millenium Green","T, S, W, B, L",531256,179766,"51.50159927394306,-0.110329570907334",SE1 7AY,59.4474,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
5,"Belthorne Crescent, Weir Estate, opposite West House","L, B,W, T,S,M",529297,173642,"51.44701458645706,-0.1407759526551",SW12 0NF,19.6512,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
6,"Bentons Rise Estate, off Norwood Park Road","T,S",532566,171478,"51.42681184307104,-0.094571773049926",SE27 9TX,1.82421,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
7,"Bleinham Gardens Estate, 57 Ramilles Close, Accessed from Kings Avenue","T,S",530312,174510,"51.45458274580431,-0.125858997350056",SW2 5DG,4.20142,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
8,"Bleinham Gardens, Estate, 98 Bleinham Gardens, Accessed from Brixton Hill","T,S",530501,174474,"51.454215711904766,-0.123153650182516",SW2 5DA,1.76385,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
9,"Bonham Estate, Beatrice House, Winslade Road","T,S",530516,174896,"51.45800472992501,-0.122782334413266",SW2 5HH,1.78572,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
10,"Canterbury Crescent, Burgate Court","T,S",531284,175634,"51.46445953590055,-0.111460797179892",SW9 7QA,0.0535236,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
11,"Carfax Estate, Holwood Place off Clapham Park Road","T,S,W",529618,175131,"51.460322828568486,-0.13561441607746",SW4 7BG,26.2788,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
12,"Church Manor Estate, off Holland Grove","T,S",531629,177158,"51.47807527294046,-0.105930284639901",SW9 6NJ,5.58116,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
13,"Coldharborough Lane, Southwyck House Estate","T,S",531502,175402,"51.46232401561422,-0.108410592293813",SW9 8TN,1.76939,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
14,"Copeland House, Lambeth Road, China Walk Estate","T,S",530935,178999,"51.49478078729275,-0.115236172121473",SE11 6NF,25.5541,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
15,"Cottingham Road, Cottingham Estate","T,S",530862,177462,"51.48098501547549,-0.116856272907046",SW8 1LG,5.11276,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
16,"Cressingham Gardens, Harbel Walk, Tulse Hill","T,S",531307,173604,"51.446210894134154,-0.111882712338011",SW2 2QG,5.36495,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
17,"Dunsford House, Roupell Park Estate","T,S",530665,173843,"51.44850717289186,-0.121027470056826",SW2 2SL,2.91828,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
18,"Fenwick Estate, 46 Fenwick Place","T,S",530099,175634,"51.464732958630805,-0.128509864747899",SW4 7GJ,27.2113,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
19,"Gaskell Street Estate, Stockwell","T,S",530047,176334,"51.471035680831825,-0.129000869376782",SW4 6PB,1.74783,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
20,"Gosling Way 1, Cowley Estate","T,S",531266,176791,"51.47486141183781,-0.111290603112651",SW9 6LB,1.76514,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
21,"Gosling Way 2, Cowley Estate","T,S",531266,176791,"51.47486141183781,-0.111290603112651",SW9 6LB,1.76514,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
22,"Greenham Close, Frazier Street, Tanswell Estate","T,S",531215,179507,"51.49928121115766,-0.111016220288232",SE1 7RP,41.7719,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
23,"Hemans Estate, Hemans Street","T,S",529886,177233,"51.47915177181705,-0.130987644904216",SW8 4SF,1.76357,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
24,"Holderness way, Holderness estate","T,S,W",532010,171064,"51.42322105515782,-0.102718462048011",SE27 0ET,1.77636,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
25,"Keats House,  Poynders Gardens Estate","T,S",529388,173853,"51.44889007513079,-0.139390119480673",SW4 8PF,1.79919,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
26,"King's Avenue, junction with Clarence Avenue","T,S,W,B,L,M",530056,174529,"51.45481232450626,-0.129534386712759",SW4 8EB,41.6174,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
27,"Lairdale Close, Rosendale Road","T,S",532192,173562,"51.44562767854816,-0.099170891380865",SE21 8LZ,1.81672,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
28,"Landsdown Way, Spurgeon Estate","T,S",530355,176760,"51.47479325128345,-0.124411982134761",SW8 2DH,1.74378,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
29,"Longton House, Lambeth Walk, China Walk Estate","T,S",531201,179085,"51.49549204366858,-0.111374635027879",SE11 6LS,1.76535,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
30,"Loughborough Park, junction with Coldharbour Lane","T, S",531823,175637,"51.46436128964383,-0.103705005808287",SW9 8SG,25.9306,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
31,"Loughborough Park, off Coldharbour Road","T,S",531849,175520,"51.46330378120841,-0.103374531126497",SW9 8TP,24.409,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
32,"Loughborough Road, Newark House","T,S",531608,176159,"51.46910240005395,-0.106604104850074",SW9 7SH,1.79994,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
33,"Marylee Way, Ethelred Estate, off Black Prince Road","T,S",531169,178443,"51.48972996329457,-0.112073767049091",SE11 6HS,9.28711,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
34,"Minton House, Walnut Tree Walk, China Walk Estate","T,S",531116,178965,"51.49443333096901,-0.112642955315414",SE11 6DJ,8.81953,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
35,Mursell Estate Hampson Way,"T,S",530694,176940,"51.47633273652877,-0.119467052596515",SW8 1HZ,6.71147,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
36,West Norwood Picturehouse,"T,S",531945,172137,"51.43287900948238,-0.103253588952667",SE27 0HY,66.2844,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
37,"Old Paradise Street, outside Gabriel House","T, S, W",530685,178883,"51.49379610374928,-0.118878347617118",SE11 6AL,5.13025,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
38,"Palace Road Estate, 43 Palace Road / Coburg Crescent Junction","T,S",531088,172973,"51.44059087600881,-0.115265709023043",SW2 3EW,1.82808,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
39,Railton Road - adjacent to 241 Railton Road,"T,S, L,B, W",531865,174532,"51.45442108944363,-0.103512379324038",SE24 0LY,77.5805,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
40,"Rosedale Road, 103 Rosendale Rd","T,S",532691,172508,"51.43603898018476,-0.092389406296235",SE21 8EX,15.9139,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
41,"Roupell Park Estate, Deepdene Gardens, off Fairview Place","T,S",531174,174224,"51.451813562373516,-0.113565827239866",SW2 2HY,1.82044,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
42,"Sainsburys, 62 Wandsworth Road (Car Park)","CM, T, S, CB, BT",530036,177402,"51.48063611302237,-0.128766706645726",SW8 2FR,18.0464,2024-04-22 12:51:23,2024-04-22 12:51:23,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
43,"Sainsburys, Clapham High Street (Car Park at rear accessed by Clapham Park Road)","CM,W,CB,BT",529602,175273,"51.461602624139466,-0.13579263344302",SW4 7AQ,23.5525,2024-04-22 12:51:23,2024-04-22 12:51:23,Yes,No,No,No,No,No,No,No,No,Yes,No
44,"Spurgen Estate, Teversham Lane / Thorne Road","T,S",530403,176959,"51.47657056958829,-0.123647895730759",SW8 1UL,1.7453,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
45,"St James Crescent, (block 73-91) Loughborough Road Estate","T,S",531408,175708,"51.46509580157221,-0.109649308305895",SW9 7JA,1.78763,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
46,"St Johns Crescent, Junction with Brixton Road","T,S",531274,175809,"51.46603454856518,-0.11153975495559",SW9 7LZ,1.82484,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
47,"St Martins Estate, 1 -10 Harbin House, Upper Tulse Hill","T,S",531351,173366,"51.44406182091728,-0.111338172598341",SW2 3QA,1.79577,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
48,"St Martins Estate, Holbrook House, Christchurch Road","T,S",530668,173410,"51.444615147465775,-0.121144041136904",SW2 3ET,1.80486,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
49,"St Mathews Estate, Crownstone road off Effra Road","T,S",531023,174839,"51.45737543502616,-0.115510119820831",SW2 1LY,1.79946,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
50,"St Mathews Estate, Tenants Hall","T,S",530963,174845,"51.45744323213462,-0.116370999094567",SW2 1NH,1.52052,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
51,"Streatham High Road, junction with Gracefield Gardens","W, L,B",530202,172117,"51.43310232156194,-0.128320595401079",SW16 2TA,33.7504,2024-04-22 12:51:23,2024-04-22 12:51:23,No,No,No,No,No,No,No,No,No,No,No
52,"Telford Avenue, junction with Streatham Hill","T, S, W, L, B,M,O",530414,173144,"51.442283138957805,-0.12489472759566",SW2 4RB,27.1018,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes
53,"Tescos, 13 Acre Lane, (on street)","T, S, W, L, B,M,O",530779,175157,"51.460289648090004,-0.118902592022894",SW2 5SR,78.6689,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes
54,"The Pavement, Clapham Common, opposite 11 The Pavement ( site under redevelopment, may be unavailble )","W, B, M, L",529368,175268,"51.46161116706779,-0.139160948597174",SW4 0HY,48.6355,2024-04-22 12:51:23,2024-04-22 12:51:23,No,No,No,Yes,Yes,No,No,Yes,No,No,No
55,"Tulse Hill Estate, GreenLeaf Close","T,S",531156,173923,"51.44911267990875,-0.113936194288003",SW2 2HB,2.79137,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
56,"Tulse Hill Estate, Scarsbook House, Next to Jubilee Primary School","T,S",531174,174224,"51.451813562373516,-0.113565827239866",SW2 2HY,1.82044,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
57,"Vaughan House, Poynders Gardens Estate","T,S",529409,173968,"51.44991878357343,-0.139046070231485",SW4 8PB,1.80466,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
58,"Vauxhall Estate, Carmelita Centre, 41 Vauxhall St","T,S",530550,178544,"51.490780735374756,-0.120947197437611",SE11 5JR,1.72459,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
59,"Wandsworth Road, Junction with Thessaly Road","T,S",529743,176666,"51.47408902666964,-0.133253616040275",SW8 2AY,6.96165,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
60,"Wedgewood House, Lambeth Walk, China Walk Estate","T,S",531203,179076,"51.49541069908734,-0.111349185334399",SE11 6LS,9.60581,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
61,"Wilcock Close,  Mawbey Estate","T,S",530287,177258,"51.4792843168978,-0.125207193038476",SW8 2UD,1.72961,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
62,"York Hill Estate, Access from Lansdowne Hill","T,S",531822,172311,"51.43447133450948,-0.104957282117887",SE27 0AR,0.0420707,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
63,"3rd Floor Riverside Building, West Minster Bridge Road","T,S",530666,179779,"51.501852668896284,-0.118820225654528",SE1 7GP,68.9515,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
64,233 Gipsy Road,"T,S",533073,171569,"51.427510863455424,-0.087249439348286",SE27 9RB,37.5739,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
65,"Arch 643, Voltaire Road","T,S",529908,175642,"51.464848687435754,-0.131254958623491",SW4 6DQ,30.157,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
66,"2 Station Approach, Estraham Rd","T,S",529761,170476,"51.41845583399367,-0.135261361479072",SW16 5NR,5.2293,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
67,45 South Lambeth Road,"T,S",530368,177600,"51.482339148672246,-0.12391540110261",SW8 1RH,7.12127,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
68,"Northwood House, West Norwood","T,S",532884,171683,"51.42857968567103,-0.089923662835282",SE27 9SL,25.6163,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
69,"Queenswood Court, 182 Hamilton Road ","T,S",533022,171579,"51.42761269955149,-0.087978830545989",SE27 9QY,14.3949,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
70,"Vauxhall Primary School, SE11 5LG","T,S",530782,178344,"51.488929822526394,-0.117681415030644",SE11 5NJ,46.9111,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
71,"Briant Estate, Sidford House car park, Hercules Road","T,S",530971,179194,"51.49652487986149,-0.114645544078129",SE1 7DD,36.3817,2024-04-22 12:51:23,2024-04-22 12:51:23,No,Yes,Yes,No,No,No,No,No,No,No,No
